IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
008832-21012017,21.Jan.17,17:02:08,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,SE18 4QH,SE18,E09000011,GREENWICH,E05000229,WOOLWICH COMMON,542460,177462,542450,177450,London,East Greenwich,399,East Greenwich,464,Plumstead,2,2
008834-21012017,21.Jan.17,17:07:18,False Alarm,False alarm - Good intent,,Outdoor,Loose refuse ,On land associated with building,E17 3NT,E17,E09000031,WALTHAM FOREST,E05000609,WOOD STREET,538668,189138,538650,189150,London,Walthamstow,277,Walthamstow,315,Walthamstow,1,2
008835-21012017,21.Jan.17,17:08:10,Special Service,Special Service,RTC,Road Vehicle,Car ,On land associated with building,TW10 6SH,TW10,E09000027,RICHMOND UPON THAMES,E05000528,SOUTH RICHMOND,517986,174677,517950,174650,London,Richmond,382,Richmond,NULL,,1,1
008836-21012017,21.Jan.17,17:10:32,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W7,E09000009,EALING,E05000180,HOBBAYNE,NULL,NULL,515350,181150,London,Ealing,328,Ealing,467,Southall,2,2
008837-21012017,21.Jan.17,17:11:38,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E13,E09000025,NEWHAM,E05000489,PLAISTOW NORTH,NULL,NULL,540450,183250,London,Plaistow,362,Plaistow,NULL,,1,1
008838-21012017,21.Jan.17,17:12:41,Special Service,Special Service,Lift Release,Other Residential,Hotel/motel ,Correct incident location,SW7 4DN,SW7,E09000020,KENSINGTON AND CHELSEA,E05009393,COURTFIELD,526093,178806,526050,178850,London,Kensington,NULL,,NULL,,1,1
008839-21012017,21.Jan.17,17:12:51,False Alarm,False alarm - Good intent,,Road Vehicle,Car ,In street outside gazetteer location,HA2 0SA,HA2,E09000015,HARROW,E05000305,WEST HARROW,513765,187344,513750,187350,London,Northolt,358,Harrow,NULL,,1,1
008840-21012017,21.Jan.17,17:15:21,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,On motorway / elevated road,SW3 6LD,SW3,E09000020,KENSINGTON AND CHELSEA,E05009405,STANLEY,526853,178286,526850,178250,London,Chelsea,190,Chelsea,NULL,,1,1
008842-21012017,21.Jan.17,17:26:37,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Correct incident location,N18 3HF,N18,E09000010,ENFIELD,E05000212,UPPER EDMONTON,535370,191736,535350,191750,London,Edmonton,639,Tottenham,NULL,,1,1
008845-21012017,21.Jan.17,17:30:22,Special Service,Special Service,Effecting entry/exit,Non Residential,Library ,Correct incident location,NW10 8SE,NW10,E09000005,BRENT,E05000091,HARLESDEN,521431,183648,521450,183650,London,Park Royal,343,Park Royal,NULL,,1,1
008846-21012017,21.Jan.17,17:31:03,Special Service,Special Service,Flooding,Non Residential,Single shop ,Correct incident location,SE20 7TN,SE20,E09000006,BROMLEY,E05000123,PENGE AND CATOR,535587,170063,535550,170050,London,Beckenham,269,Beckenham,NULL,,1,1
008847-21012017,21.Jan.17,17:33:31,Special Service,Special Service,Spills and Leaks (not RTC),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW4,E09000022,LAMBETH,E05000425,LARKHALL,NULL,NULL,530050,176350,London,Clapham,299,Clapham,331,Brixton,2,2
008849-21012017,21.Jan.17,17:45:26,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW15,E09000032,WANDSWORTH,E05000613,EAST PUTNEY,NULL,NULL,523650,174650,London,Wandsworth,349,Wandsworth,370,Fulham,2,2
008850-21012017,21.Jan.17,17:46:01,False Alarm,AFA,,Non Residential,College/University ,Correct incident location,WC1H 0AL,WC1H,E09000007,CAMDEN,E05000129,BLOOMSBURY,529969,182117,529950,182150,London,Euston,210,Euston,NULL,,1,1
008851-21012017,21.Jan.17,17:48:08,False Alarm,AFA,,Other Residential,Boarding House/B&B for homeless/asylum seekers ,Correct incident location,E7 9JJ,E7,E09000025,NEWHAM,E05000484,FOREST GATE SOUTH,540115,184988,540150,184950,London,Stratford,164,Stratford,NULL,,2,2
008852-21012017,21.Jan.17,17:49:09,Special Service,Special Service,Flooding,Outdoor,Road surface/pavement ,In street outside gazetteer location,SW6 5DP,SW6,E09000013,HAMMERSMITH AND FULHAM,E05000264,TOWN,524812,177095,524850,177050,London,Fulham,466,Hammersmith,NULL,,1,1
008853-21012017,21.Jan.17,17:50:48,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW9,E09000022,LAMBETH,E05000436,VASSALL,NULL,NULL,531450,177150,London,Brixton,272,Brixton,294,Brixton,2,3
008854-21012017,21.Jan.17,17:52:09,Special Service,Special Service,Flooding,Outdoor,Road surface/pavement ,In street close to gazetteer location,NW8 9NB,NW8,E09000033,WESTMINSTER,E05000630,ABBEY ROAD,526670,183258,526650,183250,London,Paddington,503,Paddington,NULL,,1,1
008855-21012017,21.Jan.17,17:54:33,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SW18,E09000032,WANDSWORTH,E05000614,FAIRFIELD,NULL,NULL,525950,174850,London,Wandsworth,356,Battersea,NULL,,1,1
008858-21012017,21.Jan.17,18:02:25,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,TW3 2NX,TW3,E09000018,HOUNSLOW,E05000360,HOUNSLOW SOUTH,514866,175348,514850,175350,London,Heston,306,Heston,NULL,,1,1
008859-21012017,21.Jan.17,18:02:28,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SW15,E09000032,WANDSWORTH,E05000629,WEST PUTNEY,NULL,NULL,522150,175450,London,Wandsworth,351,Fulham,452,Wandsworth,2,2
008861-21012017,21.Jan.17,18:04:02,Special Service,Special Service,Making Safe (not RTC),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,UB8,E09000017,HILLINGDON,E05000326,BRUNEL,NULL,NULL,506950,181950,London,Hillingdon,256,Hillingdon,430,Hayes,2,2
008863-21012017,21.Jan.17,18:05:38,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,BR4,E09000006,BROMLEY,E05000119,HAYES AND CONEY HALL,NULL,NULL,539450,165850,London,Addington,447,Bromley,458,Addington,3,4
008866-21012017,21.Jan.17,18:06:33,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,RM10,E09000002,BARKING AND DAGENHAM,E05000034,HEATH,NULL,NULL,549350,186350,London,Dagenham,NULL,,NULL,,1,1
008868-21012017,21.Jan.17,18:08:21,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,EN5 3DJ,EN5,E09000003,BARNET,E05000060,UNDERHILL,523647,196169,523650,196150,London,Barnet,285,Barnet,NULL,,2,2
008870-21012017,21.Jan.17,18:11:11,Special Service,Special Service,Flooding,Non Residential,"Takeaway, fast food ",Correct incident location,SW18 4HL,SW18,E09000032,WANDSWORTH,E05000612,EARLSFIELD,526109,172638,526150,172650,London,Tooting,371,Tooting,NULL,,1,1
008872-21012017,21.Jan.17,18:13:42,False Alarm,AFA,,Non Residential,Doctors surgery,Correct incident location,TW1 2AR,TW1,E09000027,RICHMOND UPON THAMES,E05000531,TWICKENHAM RIVERSIDE,517359,174276,517350,174250,London,Twickenham,528,Richmond,NULL,,1,1
008873-21012017,21.Jan.17,18:18:18,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street close to gazetteer location,E13 9JU,E13,E09000025,NEWHAM,E05000490,PLAISTOW SOUTH,540957,182826,540950,182850,London,Plaistow,222,Plaistow,NULL,,1,1
008876-21012017,21.Jan.17,18:30:20,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,HA8,E09000003,BARNET,E05000054,HALE,NULL,NULL,520450,192350,London,Mill Hill,225,Mill Hill,NULL,,1,1
008877-21012017,21.Jan.17,18:33:11,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,NW3,E09000007,CAMDEN,E05000128,BELSIZE,NULL,NULL,526950,184250,London,West Hampstead,64,Kentish Town,334,West Hampstead,3,4
008878-21012017,21.Jan.17,18:37:26,False Alarm,AFA,,Non Residential,Leisure Centre ,Within same building,E17 4HR,E17,E09000031,WALTHAM FOREST,E05000592,CHAPEL END,537919,190625,537950,190650,London,Walthamstow,309,Walthamstow,NULL,,1,1
008879-21012017,21.Jan.17,18:39:28,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,NW6,E09000007,CAMDEN,E05000140,KILBURN,NULL,NULL,525150,184150,London,West Hampstead,443,Willesden,NULL,,1,1
008880-21012017,21.Jan.17,18:39:57,Fire,Primary Fire,,Non Residential,Prison ,Correct incident location,SM2 5PD,SM2,E00000000, Not geo-coded,E00000000, Not geo-coded,526283,161556,526250,161550,OverTheBorder,OverTheBorder,NULL,,NULL,,1,2
008881-21012017,21.Jan.17,18:40:26,Special Service,Special Service,RTC,Road Vehicle,Van ,On motorway / elevated road,NW7 2QR,NW7,E09000003,BARNET,E05000057,MILL HILL,521976,190956,521950,190950,London,Mill Hill,444,Hendon,907,Park Royal,2,3
008882-21012017,21.Jan.17,18:42:37,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,SE20 8FF,SE20,E09000006,BROMLEY,E05000123,PENGE AND CATOR,535293,169834,535250,169850,London,Beckenham,299,Beckenham,378,Woodside,2,2
008883-21012017,21.Jan.17,18:47:14,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,N17 9TT,N17,E09000014,HARINGEY,E05000281,TOTTENHAM HALE,534055,190460,534050,190450,London,Tottenham,727,Tottenham,NULL,,1,1
008884-21012017,21.Jan.17,18:47:27,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E3,E09000030,TOWER HAMLETS,E05009322,BROMLEY SOUTH,NULL,NULL,537550,182150,London,Poplar,478,Millwall,497,Poplar,2,2
008885-21012017,21.Jan.17,18:50:47,False Alarm,AFA,,Non Residential,Other public building ,Correct incident location,WC2B 4LU,WC2B,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,530884,181008,530850,181050,London,Soho,369,Soho,NULL,,1,1
008886-21012017,21.Jan.17,18:53:25,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,N4 1QZ,N4,E09000012,HACKNEY,E05009387,WOODBERRY DOWN,532727,187932,532750,187950,London,Stoke Newington,2,Southgate,NULL,,1,1
008888-21012017,21.Jan.17,18:55:23,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W2,E09000033,WESTMINSTER,E05000636,HYDE PARK,NULL,NULL,526650,181050,London,Paddington,243,Paddington,253,Paddington,1,2
008889-21012017,21.Jan.17,18:55:54,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,W3,E09000009,EALING,E05000188,SOUTH ACTON,NULL,NULL,520050,179850,London,Acton,263,Acton,316,Chiswick,4,4
008891-21012017,21.Jan.17,19:01:31,False Alarm,False alarm - Malicious,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,RM5 2HR,RM5,E09000016,HAVERING,E05000313,HAVERING PARK,549543,191712,549550,191750,London,Romford,349,Romford,NULL,,1,1
008892-21012017,21.Jan.17,19:04:50,False Alarm,False alarm - Malicious,,Non Residential,Shopping Centre ,Correct incident location,BR1 1TS,BR1,E09000006,BROMLEY,E05000109,BROMLEY TOWN,540392,168976,540350,168950,London,Bromley,166,Bromley,NULL,,1,1
008893-21012017,21.Jan.17,19:06:15,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,SW4 9JX,SW4,E09000022,LAMBETH,E05000418,CLAPHAM COMMON,529325,174473,529350,174450,London,Clapham,252,Clapham,NULL,,1,1
008895-21012017,21.Jan.17,19:12:45,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE28,E09000011,GREENWICH,E05000228,THAMESMEAD MOORINGS,NULL,NULL,546950,180450,London,Plumstead,607,Plumstead,NULL,,1,1
008896-21012017,21.Jan.17,19:13:44,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,CR4,E09000024,MERTON,E05000460,FIGGE'S MARSH,NULL,NULL,527650,169150,London,Mitcham,341,Wimbledon,NULL,,1,1
008897-21012017,21.Jan.17,19:13:56,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,KT1 1TG,KT1,E09000021,KINGSTON UPON THAMES,E05000408,GROVE,518112,169542,518150,169550,London,Kingston,361,Kingston,NULL,,1,1
008899-21012017,21.Jan.17,19:16:42,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,E4 8LL,E4,E09000031,WALTHAM FOREST,E05000607,VALLEY,537334,192431,537350,192450,London,Chingford,256,Chingford,354,Walthamstow,2,2
008900-21012017,21.Jan.17,19:17:04,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE15,E09000028,SOUTHWARK,E05000545,NUNHEAD,NULL,NULL,534750,176550,London,New Cross,265,Peckham,360,Old Kent Road,4,4
008902-21012017,21.Jan.17,19:20:10,False Alarm,False alarm - Good intent,,Other Residential,Retirement/Old Persons Home,Correct incident location,E6 3AX,E6,E09000025,NEWHAM,E05000480,EAST HAM CENTRAL,542459,183510,542450,183550,London,East Ham,407,Barking,434,Barking,2,3
008903-21012017,21.Jan.17,19:21:31,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,SE3 8LY,SE3,E09000011,GREENWICH,E05000223,KIDBROOKE WITH HORNFAIR,542234,175949,542250,175950,London,Eltham,462,Eltham,NULL,,1,1
008904-21012017,21.Jan.17,19:24:56,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,House - single occupancy ,Correct incident location,,SM4,E09000024,MERTON,E05000456,CANNON HILL,NULL,NULL,524950,168450,London,Wimbledon,NULL,,NULL,,1,1
008906-21012017,21.Jan.17,19:27:34,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Within same building,EC2R 6AR,EC2R,E09000001,CITY OF LONDON,E05009299,COLEMAN STREET,532669,181397,532650,181350,London,Dowgate,215,Dowgate,NULL,,1,1
008907-21012017,21.Jan.17,19:29:45,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N18,E09000010,ENFIELD,E05000212,UPPER EDMONTON,NULL,NULL,533950,192150,London,Edmonton,340,Edmonton,NULL,,1,1
008909-21012017,21.Jan.17,19:36:08,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SW2,E09000022,LAMBETH,E05000417,BRIXTON HILL,NULL,NULL,530250,173650,London,West Norwood,310,Brixton,314,Clapham,2,3
008910-21012017,21.Jan.17,19:36:55,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,RM8 1DD,RM8,E09000002,BARKING AND DAGENHAM,E05000040,VALENCE,548151,186880,548150,186850,London,Dagenham,195,Dagenham,201,Dagenham,1,2
008911-21012017,21.Jan.17,19:38:02,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W1F 8WA,W1F,E09000033,WESTMINSTER,E05000649,WEST END,529532,181118,529550,181150,London,Soho,178,Soho,NULL,,1,1
008912-21012017,21.Jan.17,19:39:25,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E5,E09000031,WALTHAM FOREST,E05000603,LEA BRIDGE,NULL,NULL,535550,186650,London,Homerton,264,Homerton,NULL,,1,1
008913-21012017,21.Jan.17,19:40:01,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,NW6,E09000005,BRENT,E05000098,QUEENS PARK,NULL,NULL,523650,183250,London,North Kensington,261,North Kensington,263,North Kensington,1,2
008917-21012017,21.Jan.17,19:54:24,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,RM8 2DB,RM8,E09000002,BARKING AND DAGENHAM,E05000028,BECONTREE,546593,185778,546550,185750,London,Dagenham,342,Ilford,350,Ilford,1,2
008918-21012017,21.Jan.17,19:58:41,Special Service,Special Service,Flooding,Outdoor Structure,Pipe or drain ,In street outside gazetteer location,SE24 0LU,SE24,E09000022,LAMBETH,E05000423,HERNE HILL,531714,174739,531750,174750,London,Brixton,531,Peckham,NULL,,1,1
008919-21012017,21.Jan.17,20:06:07,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,SE16,E09000028,SOUTHWARK,E05000550,SOUTH BERMONDSEY,NULL,NULL,534450,178350,London,Old Kent Road,306,Old Kent Road,NULL,,1,1
008921-21012017,21.Jan.17,20:12:31,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE28,E09000011,GREENWICH,E05000228,THAMESMEAD MOORINGS,NULL,NULL,547050,180750,London,Plumstead,402,Plumstead,404,Plumstead,1,2
008922-21012017,21.Jan.17,20:12:37,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW6,E09000013,HAMMERSMITH AND FULHAM,E05000260,PARSONS GREEN AND WALHAM,NULL,NULL,525250,176650,London,Fulham,231,Fulham,314,Chelsea,2,2
008924-21012017,21.Jan.17,20:14:17,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,NW11,E09000003,BARNET,E05000045,CHILDS HILL,NULL,NULL,524650,187550,London,West Hampstead,430,Hendon,459,West Hampstead,2,2
008925-21012017,21.Jan.17,20:15:00,False Alarm,False alarm - Good intent,,Outdoor,Tree scrub ,On land associated with building,UB7 9BL,UB7,E09000017,HILLINGDON,E05000342,WEST DRAYTON,507634,179447,507650,179450,London,Hayes,360,Heathrow,NULL,,1,1
008926-21012017,21.Jan.17,20:15:02,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,N5,E09000019,ISLINGTON,E05000372,HIGHBURY EAST,NULL,NULL,531750,184850,London,Islington,NULL,,NULL,,1,1
008927-21012017,21.Jan.17,20:19:26,Special Service,Special Service,Medical Incident - Co-responder,Non Residential,Temple ,Correct incident location,E12 6AF,E12,E09000025,NEWHAM,E05000487,LITTLE ILFORD,542690,185225,542650,185250,London,East Ham,400,Stratford,NULL,,1,1
008929-21012017,21.Jan.17,20:22:34,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW3,E09000018,HOUNSLOW,E05000356,HESTON EAST,NULL,NULL,514150,176850,London,Heston,211,Heston,228,Heston,1,2
008932-21012017,21.Jan.17,20:25:03,Special Service,Special Service,Effecting entry/exit,Dwelling,Unlicensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,E15,E09000025,NEWHAM,E05000483,FOREST GATE NORTH,NULL,NULL,539650,185250,London,Stratford,338,Leytonstone,NULL,,1,1
008933-21012017,21.Jan.17,20:28:36,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,NW9 9PE,NW9,E09000005,BRENT,E05000090,FRYENT,520234,188671,520250,188650,London,Stanmore,330,Stanmore,NULL,,1,1
008946-21012017,21.Jan.17,20:42:54,False Alarm,False alarm - Good intent,,Outdoor Structure,Other outdoor equipment/machinery ,On land associated with building,EN3 4QN,EN3,E09000010,ENFIELD,E05000206,PONDERS END,535935,195612,535950,195650,London,Enfield,255,Enfield,330,Enfield,1,2
008947-21012017,21.Jan.17,20:43:12,Fire,Primary Fire,,Dwelling,Houseboat (permanent dwelling) ,Correct incident location,,RM20,E00000000, Not geo-coded,E00000000, Not geo-coded,NULL,NULL,559150,177850,OverTheBorder,OverTheBorder,NULL,,NULL,,2,3
008949-21012017,21.Jan.17,20:47:14,Fire,Primary Fire,,Non Residential,Other entertainment venue ,Correct incident location,DA6 7AJ,DA6,E09000004,BEXLEY,E05000069,CHRISTCHURCH,548619,175230,548650,175250,London,Bexley,193,Bexley,NULL,,1,1
008950-21012017,21.Jan.17,20:52:52,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Correct incident location,W1T 5AP,W1T,E09000007,CAMDEN,E05000129,BLOOMSBURY,529291,182184,529250,182150,London,Euston,190,Euston,200,Soho,2,2
008951-21012017,21.Jan.17,20:59:06,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street remote from gazetteer location,HA4 7SB,HA4,E09000017,HILLINGDON,E05000343,WEST RUISLIP,506302,189742,506350,189750,London,Ruislip,203,Ruislip,NULL,,1,1
008952-21012017,21.Jan.17,21:01:11,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,SW17 0BW,SW17,E09000024,MERTON,E05000474,WIMBLEDON PARK,526280,171707,526250,171750,London,Wimbledon,322,Wimbledon,NULL,,1,1
